"","V1","V2","V3"
"321",7108306,1585,35524
"322",7108305,464,10401
"323",7108335,1005,22528
"324",7108303,1225,27447
"325",7108304,567,12711
"326",7108302,579,12970
"327",7108301,410,9189
"328",7108277,326,7319
"329",7108300,625,14005
"330",7108334,745,16704
"331",7108492,644,14436
"332",7108275,1003,22478
"333",7108332,476,10677
"334",7108274,532,11928
"335",7108276,1216,27254
"336",7108296,722,16188
"337",7108272,472,10585
"338",7108307,604,13542
"339",7108271,1080,24201
"340",7108273,1451,32520
"341",7108738,233,5228
"342",7108592,670,15025
"343",7108298,1093,24502
"344",7108269,1070,23972
"345",7108265,552,12372
"346",7108297,619,13887
"347",7108264,644,14429
"348",7108596,995,22305
"349",7108294,378,8488
"350",7108245,437,9792
"351",7108245,437,9792
"352",7108299,890,19949
"353",7108251,1581,35419
"354",7108243,785,17590
"355",7108597,1205,26992
"356",7108241,909,20372
"357",7108295,513,11512
"358",7108247,647,14514
"359",7108240,678,15196
"360",7108229,754,16896
"361",7108228,870,19501
"362",7108238,1039,23275
"363",7108227,735,16478
"364",7108224,529,11855
"365",7108225,629,14093
"366",7108223,672,15066
"367",7108222,353,7914
"368",7108220,386,8661
"369",7108221,947,21230
"370",7108219,978,21915
"371",7108218,649,14544
"372",7108217,276,6204
"373",7108215,443,9936
"374",7108214,842,18882
"375",7108216,1452,32547
"376",7108211,550,12327
"377",7108210,422,9467
"378",7108201,287,6448
"379",7108204,638,14313
"380",7108213,1011,22664
"381",7108207,759,17018
"382",7108202,265,5952
"383",7108203,269,6039
"384",7108206,812,18204
"385",7108198,1518,34007
"386",7108205,435,9763
"387",7108195,480,10757
"388",7108208,594,13317
"389",7108197,1990,44584
"390",7108194,1389,31123
"391",7108191,1281,28704
"392",7108189,876,19628
"393",7108188,1070,23971
"394",7108190,830,18604
"395",7108192,1484,33254
"396",7108178,1356,30381
"397",7108177,304,6818
"398",7108179,659,14780
"399",7108174,809,18137
"400",7108170,731,16376
"401",7108176,854,19133
"402",7108640,1118,25063
"403",7108186,483,10839
"404",7108166,849,19031
"405",7108165,1185,26550
"406",7108185,556,12472
"407",7108645,1141,25569
"408",7108163,495,11092
"409",7108643,345,7738
"410",7108164,913,20460
"411",7108184,719,16108
"412",7108167,728,16326
"413",7108161,481,10785
"414",7108642,605,13562
"415",7108159,787,17640
"416",7108644,569,12753
"417",7108309,714,15998
"418",7108157,1197,26828
"419",7108146,542,12146
"420",7108168,810,18150
"421",7108145,221,4963
"422",7108564,951,21308
"423",7108169,302,6765
"424",7108144,370,8302
"425",7108562,316,7089
"426",7108310,782,17539
"427",7108173,748,16758
"428",7108153,696,15600
"429",7108559,432,9697
"430",7108532,811,18187
"431",7108172,589,13208
"432",7108125,472,10594
"433",7108534,862,19323
"434",7108152,1167,26159
"435",7108122,958,21464
"436",7108148,397,8898
"437",7108123,764,17117
"438",7108149,443,9930
"439",7108130,304,6820
"440",7108124,849,19038
"441",7108536,810,18144
"442",7108147,399,8946
"443",7108129,733,16422
"444",7108121,731,16378
"445",7108118,1866,41810
"446",7108114,509,11417
"447",7108537,1016,22769
"448",7108134,959,21495
"449",7108156,625,14018
"450",7108113,688,15429
"451",7108112,1023,22930
"452",7108154,708,15868
"453",7108117,827,18531
"454",7108109,1016,22767
"455",7108116,909,20366
"456",7108106,818,18344
"457",7108096,320,7168
"458",7108115,573,12848
"459",7108561,245,5494
"460",7108097,985,22084
"461",7108094,833,18675
"462",7108563,383,8592
"463",7108560,196,4411
"464",7108090,699,15674
"465",7108566,565,12659
"466",7108565,162,3646
"467",7108548,310,6966
"468",7108081,502,11260
"469",7108268,1383,30998
"470",7108093,1044,23396
"471",7108567,236,5302
"472",7108087,1262,28288
"473",7108092,1844,41322
"474",7108080,631,14144
"475",7108267,848,18996
"476",7108568,851,19074
"477",7108086,677,15186
"478",7108569,684,15327
"479",7108078,869,19468
"480",7108067,904,20261
"481",7108070,632,14177
"482",7108571,241,5403
"483",7108068,1003,22474
"484",7108088,1148,25721
"485",7108570,396,8881
"486",7108065,957,21443
"487",7108572,304,6820
"488",7108058,774,17359
"489",7108060,997,22338
"490",7108059,942,21112
"491",7108085,1236,27692
"492",7108084,686,15387
"493",7108048,702,15733
"494",7108041,407,9133
"495",7108082,898,20119
"496",7108044,638,14296
"497",7108050,924,20715
"498",7108043,345,7744
"499",7108083,715,16035
"500",7108047,263,5901
